PROTEIN_U,PROTEIN_V,PUBMED
YBR189W,YCR057C,16429126
YDR138W,YNR031C,11805837
YBR079C,YDR362C,30593915
YJL025W,YJL025W,8702872
YAL005C,YJL107C,19536198
YBR010W,YCR009C,22199229
YGL016W,YML124C,16429126
YNL243W,YOR061W,25268174
YLL024C,YNL101W,19536198
YHR186C,YNL118C,10900456
YDR395W,YNL069C,9412461
YDL190C,YMR276W,16338354
YDR189W,YNL209W,23332755
YDL143W,YLR196W,11805837
YNL016W,YPL181W,32857852
YLR058C,YOR276W,29775579
YOR089C,YPR174C,11283351
YER006W,YGR246C,30593915
YCR009C,YDR395W,10992286
YMR214W,YOR272W,19536198
YFR004W,YPR108W,18314965
YGR215W,YHR114W,11283351
YDL160C,YML091C,26392412
YCR035C,YOR001W,14759368
YOL148C,YPL047W,15282323
YJL200C,YJR045C,25792736
YHR216W,YJL080C,27580715
YNL014W,YOR117W,18757749
YJR094C,YJR094C,8628320
YJL190C,YMR309C,31062022
YFL040W,YMR266W,16093310
YBR084W,YDL075W,31062022
YDR365C,YJL033W,29054886
YLR383W,YPL093W,33301732
YBR105C,YER131W,25172955
YDR478W,YGR030C,11880623
YHR010W,YPL240C,26217697
YGR278W,YLL036C,16429126
YDL108W,YLL008W,21460040
YBR010W,YHR207C,22343720
YAR027W,YER087C,18719252
YBL004W,YMR128W,29263326
YKL119C,YLR378C,30682149
YDR333C,YHR010W,23178123
YCL037C,YIL137C,27580715
YGL150C,YPL127C,17693258
YOL005C,YPR093C,23418395
YDR168W,YPL240C,16554755
YLL039C,YML088W,25703377
YHL015W,YLR432W,31062022
YAL005C,YBR072W,25452130
YAL005C,YBR152W,19536198
YDR443C,YLR233C,26365526
YBR170C,YGR048W,11283351
YLR320W,YOR304W,26849847
YLR423C,YOL034W,18719252
